paper_id,summary_a_score,summary_b_score,preferred_by_reward
1904.07695v1,-0.12335937470197678,-0.12335937470197678,A
1904.07904v1,-0.11559771746397018,-0.11559771746397018,A
1904.07982v1,-0.11683596670627594,-0.11683596670627594,A
1904.08051v1,-0.12046617269515991,-0.12046617269515991,A
1904.08075v1,-0.11965103447437286,-0.11965103447437286,A
1904.08109v1,-0.12236130982637405,-0.12236130982637405,A
1904.12213v1,-0.11381014436483383,-0.11381014436483383,A
1904.12550v1,-0.11056346446275711,-0.11056346446275711,A
1904.12848v6,-0.12427210062742233,-0.12427210062742233,A
1905.00422v1,-0.11453431844711304,-0.11453431844711304,A
